Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channels,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
MEGA-lite Bright Stripe,30°,17W,,F,0,,6.337,Mode 3,48,Bright Stripes,,,,,,,5.0lbs,,10.50',10.26',1.33',90°,-45.0°,180.0°,-180°,89°,No,,,No,,,205cb006-8618-47e3-afc1-8b24cce15d07,
ADJ 12PX Hex,30°,133W,,F,0,,6.78,8 Channel,8,12PX Pars,,,,,,,8.8lbs,,10.50',8.85',-0.19',-90°,0°,0°,-180°,90°,No,,,No,,,9fdd9e63-4903-4819-8cb0-872399d0e6a8,
ADJ Mega Hex Par,23°,30W,,G,0,,9.92,12 Channel,12,Mega Hex Par,,,,,,,4.1lbs,,-27.45',14.18',90',90°,0°,0°,0°,90°,No,,,No,,,ff841ff5-afeb-45ed-9f75-924771938faf,
ADJ Mega Hex Par,23°,30W,,G,0,,9.104,12 Channel,12,Mega Hex Par,,,,,,,4.1lbs,,-25.17',14.18',90',90°,0°,0°,0°,90°,No,,,No,,,8ac57e07-e693-4c97-8479-4201e3062331,
ADJ Mega Hex Par,23°,30W,,G,0,,9.181,12 Channel,12,Mega Hex Par,,,,,,,4.1lbs,,-25.99',6.52',90',90°,0°,0°,0°,90°,No,,,No,,,ace52123-757c-4df8-b805-15bc92d3331d,
ADJ Mega Hex Par,23°,30W,,G,0,,9.116,12 Channel,12,Mega Hex Par,,,,,,,4.1lbs,,-24.54',6.52',90',90°,0°,0°,0°,90°,No,,,No,,,062e6959-59e4-4469-aa34-873ebd82df12,
ADJ Mega Hex Par,23°,30W,,H,0,,10.92,12 Channel,12,Mega Hex Par,,,,,,,4.1lbs,,27.45',14.18',90',90°,0°,0°,0°,90°,No,,,No,,,0d8d90b7-9c25-4166-894b-ed205d19187b,
ADJ Mega Hex Par,23°,30W,,H,0,,10.104,12 Channel,12,Mega Hex Par,,,,,,,4.1lbs,,25.17',14.18',90',90°,0°,0°,0°,90°,No,,,No,,,5c5e4df9-d7e8-4a42-8634-f3255eb3f273,
ADJ Mega Hex Par,23°,30W,,H,0,,10.116,12 Channel,12,Mega Hex Par,,,,,,,4.1lbs,,25.99',6.52',90',90°,0°,0°,0°,90°,No,,,No,,,5c5bb4c7-dff5-4488-955e-29d728e2d609,
ADJ Mega Hex Par,23°,30W,,H,0,,10.128,12 Channel,12,Mega Hex Par,,,,,,,4.1lbs,,24.54',6.52',90',90°,0°,0°,0°,90°,No,,,No,,,12adc328-b623-46a5-9354-4dca5a29b97b,
